127.0.0.1 - - [14/May/2018:18:26:33 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/May/2018:18:26:34 -0300] "GET /aletheia/ HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/May/2018:18:26:54 -0300] "GET /aletheia/contagens/novo HTTP/1.1" 200 12614
0:0:0:0:0:0:0:1 - - [14/May/2018:18:26:54 -0300] "GET /aletheia/layout/stylesheets/algaworks.min.css HTTP/1.1" 200 8699
0:0:0:0:0:0:0:1 - - [14/May/2018:18:26:54 -0300] "GET /aletheia/layout/stylesheets/vendors.min.css HTTP/1.1" 200 167935
0:0:0:0:0:0:0:1 - - [14/May/2018:18:26:54 -0300] "GET /aletheia/layout/stylesheets/application.css HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [14/May/2018:18:26:54 -0300] "GET /aletheia/stylesheets/aletheia.css HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [14/May/2018:18:26:54 -0300] "GET /aletheia/stylesheets/vendors/bootstrap-switch.min.css HTTP/1.1" 200 6256
0:0:0:0:0:0:0:1 - - [14/May/2018:18:26:54 -0300] "GET /aletheia/layout/javascripts/vendors.min.js HTTP/1.1" 200 145096
0:0:0:0:0:0:0:1 - - [14/May/2018:18:26:54 -0300] "GET /aletheia/layout/javascripts/algaworks.min.js HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [14/May/2018:18:26:54 -0300] "GET /aletheia/javascripts/vendors/jquery.maskMoney.min.js HTTP/1.1" 200 5062
0:0:0:0:0:0:0:1 - - [14/May/2018:18:26:54 -0300] "GET /aletheia/javascripts/aletheia.js HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [14/May/2018:18:26:54 -0300] "GET /aletheia/javascripts/vendors/bootstrap-switch.min.js HTTP/1.1" 200 15724
0:0:0:0:0:0:0:1 - - [14/May/2018:18:26:54 -0300] "GET /aletheia/images/logo.png HTTP/1.1" 200 28096
0:0:0:0:0:0:0:1 - - [14/May/2018:18:26:54 -0300] "GET /aletheia/layout/vendors/bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [14/May/2018:18:26:54 -0300] "GET /aletheia/layout/vendors/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 75220
0:0:0:0:0:0:0:1 - - [14/May/2018:18:27:01 -0300] "GET /aletheia/contagens/novo HTTP/1.1" 200 12614
